antecedent,consequent,support,confidence,lift,antecedent_count,rule_count
day_type=Weekend AND weather_main=Rain,congestion_category=High,0.011725154087201942,0.3719552337063858,1.4869260699029045,1519,565
time_period=Midday,congestion_category=Severe,0.09070911241621184,0.3708637366366876,1.4846565487506909,11786,4371
time_period=Midday AND weather_main=Rain,congestion_category=Severe,0.01041774752526615,0.3640319071791153,1.4573070957248508,1379,502
time_period=Evening Peak,congestion_category=Severe,0.05875028534667026,0.3601322986897341,1.4416960269969443,7861,2831
day_type=Weekend AND weather_main=Mist,congestion_category=Medium,0.012306223670284517,0.35787567893783945,1.4312354005293113,1657,593
time_period=Evening Peak AND day_type=Weekday,congestion_category=High,0.0416709901010646,0.35602836879432626,1.4232569277494773,5640,2008
time_period=Evening Peak AND weather_main=Clear,congestion_category=Severe,0.013904165023761595,0.3507853403141361,1.404277909256233,1910,670
day_type=Weekend AND weather_main=Clear,congestion_category=Medium,0.029821321103202108,0.3491253644314869,1.396240678550922,4116,1437
day_type=Weekend,congestion_category=High,0.09865731421337705,0.347007299270073,1.387194352905841,13700,4754
day_type=Weekday AND weather_main=Rain,congestion_category=Severe,0.029427023886110362,0.34143992294726705,1.366865960543321,4153,1418
time_period=Evening Peak AND day_type=Weekday AND weather_main=Clouds,congestion_category=High,0.016269948326312077,0.34057341442224154,1.361474292414514,2302,784
day_type=Weekend,congestion_category=Medium,0.09583497623840455,0.3370802919708029,1.348069385774511,13700,4618
day_type=Weekday,congestion_category=Severe,0.2409986095834976,0.3367355815234726,1.3480333527350314,34487,11613
day_type=Weekend AND weather_main=Rain,congestion_category=Medium,0.010459252495486335,0.3317972350230415,1.3269411041626111,1519,504
weather_main=Mist,congestion_category=Low,0.04079938572644074,0.33047571020339556,1.3218754086138476,5949,1966
day_type=Weekend AND weather_main=Clear,congestion_category=High,0.0272687654346608,0.31924198250728864,1.276199884775072,4116,1314
day_type=Weekday AND weather_main=Mist,congestion_category=Severe,0.02799510241351402,0.3143056849953402,1.258241093534141,4292,1349
day_type=Weekday AND weather_main=Clear,congestion_category=Severe,0.059663394691514306,0.3102071644367717,1.2418337320523982,9268,2875
day_type=Weekend AND weather_main=Clear,congestion_category=Low,0.026106626268495654,0.30563654033041787,1.2225207909771598,4116,1258
day_type=Weekday AND weather_main=Mist,congestion_category=Low,0.027144250524000248,0.3047530288909599,1.218986818558038,4292,1308
day_type=Weekend AND weather_main=Clouds,congestion_category=Medium,0.02683296324734887,0.30473721423521094,1.2187212334925812,4243,1293
weather_main=Clouds,congestion_category=Severe,0.0916014692759458,0.2911993666710648,1.165740955535316,15158,4414
day_type=Weekday AND weather_main=Snow,congestion_category=High,0.013032560649137733,0.2908754052802223,1.162801821323882,2159,628
weather_main=Clouds,congestion_category=High,0.09143544939506507,0.290671592558385,1.1619870607774097,15158,4406
day_type=Weekend,congestion_category=Low,0.08101770186979891,0.284963503649635,1.13983036028596,13700,3904
weather_main=Clear,congestion_category=Low,0.07885944341834934,0.2839210998206814,1.13566083149823,13384,3800
weather_main=Snow,congestion_category=High,0.016684998028513913,0.2796521739130435,1.1179358971584392,2875,804
day_type=Weekday AND weather_main=Clear,congestion_category=Low,0.05275281714985369,0.27427708243418214,1.0970855624849285,9268,2542
weather_main=Snow,congestion_category=Low,0.01610392844543134,0.2699130434782609,1.0796297689123397,2875,776
weather_main=Clear,congestion_category=Medium,0.0746051839707805,0.2686043036461446,1.074216580612231,13384,3595
weather_main=Snow,congestion_category=Medium,0.01591715607944051,0.2667826086956522,1.0669311615252215,2875,767
weather_main=Rain,congestion_category=Severe,0.030319380745844313,0.25758110014104374,1.0311589658965252,5672,1461
weather_main=Rain,congestion_category=High,0.03017411335007367,0.2563469675599436,1.0247711403526631,5672,1454
weather_main=Rain,congestion_category=Medium,0.028928964243468157,0.24576868829337095,0.9828911762629817,5672,1394
weather_main=Mist,congestion_category=Medium,0.030194865835183764,0.24457892082702976,0.9781329950943717,5949,1455
day_type=Weekday AND weather_main=Snow,congestion_category=Low,0.010832797227467989,0.24177860120426123,0.9670943352062534,2159,522
weather_main=Rain,congestion_category=Low,0.028285637205055305,0.24030324400564174,0.9611930288785472,5672,1363
day_type=Weekday AND weather_main=Snow,congestion_category=Severe,0.01062527237636707,0.23714682723483094,0.9493556670237433,2159,512
day_type=Weekday,congestion_category=Low,0.1689874862514786,0.23611795749122858,0.9444522302340691,34487,8143
weather_main=Clouds,congestion_category=Medium,0.07427314420901902,0.23611294366011348,0.9442754100879649,15158,3579
day_type=Weekday AND weather_main=Clear,congestion_category=Medium,0.04478386286757839,0.23284419507984463,0.9312028573584924,9268,2158
weather_main=Mist,congestion_category=Severe,0.02867993442214705,0.23230795091612036,0.9299844837413883,5949,1382
day_type=Weekday AND weather_main=Rain,congestion_category=Low,0.01983937576524789,0.23019503973031544,0.9207610508412641,4153,956
day_type=Weekday AND weather_main=Snow,congestion_category=Medium,0.010313985099715692,0.2301991662806855,0.9206247178659966,2159,497
day_type=Weekday AND weather_main=Clouds,congestion_category=High,0.052067985141220664,0.2298671552908841,0.9189155974781676,10915,2509
time_period=Morning AND day_type=Weekend,congestion_category=Low,0.011330856870110196,0.22931541369172617,0.917242619703097,2381,546
weather_main=Clear,congestion_category=High,0.062402722726046446,0.2246712492528392,0.8981444738465707,13384,3007
weather_main=Clear,congestion_category=Severe,0.061883910598294144,0.22280334728033474,0.891935274187712,13384,2982
day_type=Weekday,congestion_category=Medium,0.15421171685309315,0.21547249688288342,0.8617290403598228,34487,7431
day_type=Weekday AND weather_main=Rain,congestion_category=Medium,0.018469711747981822,0.21430291355646522,0.8570515806743623,4153,890
day_type=Weekday AND weather_main=Rain,congestion_category=High,0.01844895926287173,0.21406212376595232,0.8557334957615683,4153,889
day_type=Weekday,congestion_category=High,0.1514931413036711,0.2116739641024154,0.8461866026383849,34487,7300
day_type=Weekday AND weather_main=Clouds,congestion_category=Medium,0.04744018096167016,0.20943655519926707,0.8375897821717224,10915,2286
time_period=Morning,congestion_category=Medium,0.035362234627596655,0.20619554695062922,0.8246281700481344,8264,1704
day_type=Weekend AND weather_main=Clouds,congestion_category=Low,0.017971652105339613,0.20410087202451097,0.8163865460484029,4243,866
day_type=Weekday AND weather_main=Mist,congestion_category=Medium,0.017888642164899247,0.20083876980428705,0.8032050627072107,4292,862
